Jogos disputados;;;;
90;;;;
Média de gols por jogo;;;;
2,27;;;;
Gols marcados;;;;
204;;;;
Ambas as equipes marcaram;;;;
42;;;;
;Resultado do jogo ;Torneio;Fase;Estádio
;Namíbia;;;
;Namíbia;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
17/jun/23;África do Sul;CAN 2023 Prel. Comp.;Qualifying Round;Estádio Soccer City
;África do Sul;;;
;;;;
;Marrocos;;;
;Marrocos;;;
;;;;
;Final de partida;;;
;2;;;
;1;;;
28/mar/23;Libéria;CAN 2023 Prel. Comp.;Qualifying Round;Complexo Esportivo Samuel Kanyon Doe
;Libéria;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;2;;;
24/mar/23;África do Sul;CAN 2023 Prel. Comp.;Qualifying Round;Estádio de Orlando
;África do Sul;;;
;;;;
;Libéria;;;
;Libéria;;;
;;;;
;Final de partida;;;
;2;;;
;2;;;
20/nov/22;África do Sul;Friendly 2022;-;Estádio Mbombela
;África do Sul;;;
;;;;
;Angola;;;
;Angola;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
17/nov/22;África do Sul;Friendly 2022;-;Estádio Mbombela
;África do Sul;;;
;;;;
;Moçambique;;;
;Moçambique;;;
;;;;
;Final de partida;;;
;2;;;
;1;;;
27/set/22;África do Sul;Friendly 2022;-;Estádio Soccer City
;África do Sul;;;
;;;;
;Botsuana;;;
;Botsuana;;;
;;;;
;Final de partida;;;
;1;;;
;0;;;
24/set/22;África do Sul;Friendly 2022;-;Estádio Soccer City
;África do Sul;;;
;;;;
;Serra Leoa;;;
;Serra Leoa;;;
;;;;
;Final de partida;;;
;4;;;
;0;;;
04/set/22;África do Sul;African Nations Championship 2022 (CHAN) - Prel. Comp.;Southern Zone;Estádio de Orlando
;África do Sul;;;
;;;;
;Angola;;;
;Angola;;;
;;;;
;Final de partida;;;
;1;;;
;4;;;
28/ago/22;Angola;African Nations Championship 2022 (CHAN) - Prel. Comp.;Southern Zone;Estádio 11 de Novembro
;Angola;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;2;;;
;0;;;
30/jul/22;África do Sul;African Nations Championship 2022 (CHAN) - Prel. Comp.;Southern Zone;Estádio Dobsonville
;África do Sul;;;
;;;;
;Comores;;;
;Comores;;;
;;;;
;Final de partida;;;
;0;;;
;0;;;
22/jul/22;Comores;African Nations Championship 2022 (CHAN) - Prel. Comp.;Southern Zone;Stade Omnisports d'Iconi-Malouzini
;Comores;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;0;;;
;1;;;
17/jul/22;África do Sul;COSAFA Senior Challenge Cup 2022;Segunda fase;Sugar Ray Xulu Stadium
;África do Sul;;;
;;;;
;Botsuana;;;
;Botsuana;;;
;;;;
;Final de partida;;;
;2;;;
;1;;;
15/jul/22;Madagascar;COSAFA Senior Challenge Cup 2022;Segunda fase;Sugar Ray Xulu Stadium
;Madagascar;;;
;;;;
;África do Sul;;;
